id,time,x,y
dynamic,13320,1.5708e+11,3.8628e+08
planet,13380,1.49599e+11,3.98456e+08
dynamic,13380,1.5708e+11,3.8802e+08
planet,13440,1.49599e+11,4.00243e+08
dynamic,13440,1.5708e+11,3.8976e+08
planet,13500,1.49599e+11,4.0203e+08
dynamic,13500,1.5708e+11,3.915e+08
planet,13560,1.49599e+11,4.03816e+08
dynamic,13560,1.5708e+11,3.9324e+08
planet,13620,1.49599e+11,4.05603e+08
dynamic,13620,1.57079e+11,3.9498e+08
planet,13680,1.49599e+11,4.0739e+08
dynamic,13680,1.57079e+11,3.9672e+08
planet,13740,1.49599e+11,4.09177e+08
dynamic,13740,1.57079e+11,3.9846e+08
planet,13800,1.49599e+11,4.10963e+08
dynamic,13800,1.57079e+11,4.002e+08
planet,13860,1.49599e+11,4.1275e+08
dynamic,13860,1.57079e+11,4.0194e+08
planet,13920,1.49599e+11,4.14537e+08
dynamic,13920,1.57079e+11,4.0368e+08
planet,13980,1.49599e+11,4.16324e+08
dynamic,13980,1.57079e+11,4.0542e+08
planet,14040,1.49599e+11,4.18111e+08
dynamic,14040,1.57079e+11,4.0716e+08
planet,14100,1.49599e+11,4.19897e+08
dynamic,14100,1.57079e+11,4.089e+08
planet,14160,1.49599e+11,4.21684e+08
dynamic,14160,1.57079e+11,4.1064e+08
planet,14220,1.49599e+11,4.23471e+08
dynamic,14220,1.57079e+11,4.1238e+08
planet,14280,1.49599e+11,4.25258e+08
dynamic,14280,1.57079e+11,4.1412e+08
planet,14340,1.49599e+11,4.27045e+08
dynamic,14340,1.57079e+11,4.1586e+08
planet,14400,1.49599e+11,4.28831e+08
dynamic,14400,1.57079e+11,4.176e+08
planet,14460,1.49599e+11,4.30618e+08
dynamic,14460,1.57079e+11,4.19339e+08
planet,14520,1.49599e+11,4.32405e+08
dynamic,14520,1.57079e+11,4.21079e+08
planet,14580,1.49599e+11,4.34192e+08
dynamic,14580,1.57079e+11,4.22819e+08
planet,14640,1.49599e+11,4.35979e+08
dynamic,14640,1.57079e+11,4.24559e+08
planet,14700,1.49599e+11,4.37765e+08
dynamic,14700,1.57079e+11,4.26299e+08
planet,14760,1.49599e+11,4.39552e+08
dynamic,14760,1.57079e+11,4.28039e+08
planet,14820,1.49599e+11,4.41339e+08
dynamic,14820,1.57079e+11,4.29779e+08
planet,14880,1.49599e+11,4.43126e+08
dynamic,14880,1.57079e+11,4.31519e+08
planet,14940,1.49599e+11,4.44913e+08
dynamic,14940,1.57079e+11,4.33259e+08
planet,15000,1.49599e+11,4.46699e+08
dynamic,15000,1.57079e+11,4.34999e+08
planet,15060,1.49599e+11,4.48486e+08
dynamic,15060,1.57079e+11,4.36739e+08
planet,15120,1.49599e+11,4.50273e+08
dynamic,15120,1.57079e+11,4.38479e+08
planet,15180,1.49599e+11,4.5206e+08
dynamic,15180,1.57079e+11,4.40219e+08
planet,15240,1.49599e+11,4.53847e+08
dynamic,15240,1.57079e+11,4.41959e+08
planet,15300,1.49599e+11,4.55633e+08
dynamic,15300,1.57079e+11,4.43699e+08
planet,15360,1.49599e+11,4.5742e+08
dynamic,15360,1.57079e+11,4.45439e+08
planet,15420,1.49599e+11,4.59207e+08
dynamic,15420,1.57079e+11,4.47179e+08
planet,15480,1.49599e+11,4.60994e+08
dynamic,15480,1.57079e+11,4.48919e+08
planet,15540,1.49599e+11,4.6278e+08
dynamic,15540,1.57079e+11,4.50659e+08
planet,15600,1.49599e+11,4.64567e+08
dynamic,15600,1.57079e+11,4.52399e+08
planet,15660,1.49599e+11,4.66354e+08
dynamic,15660,1.57079e+11,4.54139e+08
planet,15720,1.49599e+11,4.68141e+08
dynamic,15720,1.57079e+11,4.55879e+08
planet,15780,1.49599e+11,4.69928e+08
dynamic,15780,1.57079e+11,4.57619e+08
planet,15840,1.49599e+11,4.71714e+08
dynamic,15840,1.57079e+11,4.59359e+08
planet,15900,1.49599e+11,4.73501e+08
dynamic,15900,1.57079e+11,4.61099e+08
planet,15960,1.49599e+11,4.75288e+08
dynamic,15960,1.57079e+11,4.62839e+08
planet,16020,1.49599e+11,4.77075e+08
dynamic,16020,1.57079e+11,4.64579e+08
planet,16080,1.49599e+11,4.78862e+08
dynamic,16080,1.57079e+11,4.66319e+08
planet,16140,1.49599e+11,4.80648e+08
dynamic,16140,1.57079e+11,4.68059e+08
planet,16200,1.49599e+11,4.82435e+08
dynamic,16200,1.57079e+11,4.69799e+08
planet,16260,1.49599e+11,4.84222e+08
dynamic,16260,1.57079e+11,4.71539e+08
planet,16320,1.49599e+11,4.86009e+08
dynamic,16320,1.57079e+11,4.73279e+08
planet,16380,1.49599e+11,4.87796e+08
dynamic,16380,1.57079e+11,4.75019e+08
planet,16440,1.49599e+11,4.89582e+08
dynamic,16440,1.57079e+11,4.76759e+08
planet,16500,1.49599e+11,4.91369e+08
dynamic,16500,1.57079e+11,4.78499e+08
planet,16560,1.49599e+11,4.93156e+08
dynamic,16560,1.57079e+11,4.80239e+08
planet,16620,1.49599e+11,4.94943e+08
dynamic,16620,1.57079e+11,4.81979e+08
planet,16680,1.49599e+11,4.96729e+08
dynamic,16680,1.57079e+11,4.83719e+08
planet,16740,1.49599e+11,4.98516e+08
dynamic,16740,1.57079e+11,4.85459e+08
planet,16800,1.49599e+11,5.00303e+08
dynamic,16800,1.57079e+11,4.87199e+08
planet,16860,1.49599e+11,5.0209e+08
dynamic,16860,1.57079e+11,4.88939e+08
planet,16920,1.49599e+11,5.03877e+08
dynamic,16920,1.57079e+11,4.90679e+08
planet,16980,1.49599e+11,5.05663e+08
dynamic,16980,1.57079e+11,4.92419e+08
planet,17040,1.49599e+11,5.0745e+08
dynamic,17040,1.57079e+11,4.94159e+08
planet,17100,1.49599e+11,5.09237e+08
dynamic,17100,1.57079e+11,4.95899e+08
planet,17160,1.49599e+11,5.11024e+08
dynamic,17160,1.57079e+11,4.97639e+08
planet,17220,1.49599e+11,5.12811e+08
dynamic,17220,1.57079e+11,4.99379e+08
planet,17280,1.49599e+11,5.14597e+08
dynamic,17280,1.57079e+11,5.01119e+08
